name,slug,featured,image,space_available,unit_price,measurement,owner,title,company,phone,email,address,state,city,zip_code,features,services,pallet_capacity,unit,labor_hours,approved,latitud-2,longitude-2
105 W Hillsdale Blvd C,105-w-hillsdale-blvd-c,,,,0,20,,,Space Woofs,1-650-219-3685,,105 W Hillsdale Blvd C,CA,San Mateo,94403-4282,,,0,,10,true,37.5346636,-122.3004479
1055 Montague Street,1055-montague-street,,,,0,20,,,"3rd Party Solutions & Logistics, LLC",1-650-732-0924,,1055 Montague Street,CA,San Leandro,94577-4331,,,0,,10,true,37.7102681,-122.1585946
1065 Barcelona Drive,1065-barcelona-drive,,,,0,20,,,PC Racing & Storage LLC,1-303-946-6771,,1065 Barcelona Drive,CA,Pacifica,94044-3508,,,0,,10,true,37.5924897,-122.4870788
1068 E Meadow Cir,1068-e-meadow-cir,,,,0,20,,,"Peninsula Storage Center, Limited Partnership",1-650-496-4170,,1068 E Meadow Cir,CA,Palo Alto,94303-4230,,,0,,10,true,37.4300434,-122.1097948
1075 Montague Expwy,1075-montague-expwy,,,,0,20,,,"Avid Technology, Inc.",1-408-942-7352,,1075 Montague Expwy,CA,Milpitas,95035-6828,,,0,,10,true,37.4165768,-121.8827519
1075 Space Park Way Spc 2,1075-space-park-way-spc-2,,,,0,20,,,Deanza Storage,1-650-969-0102,,1075 Space Park Way Spc 2,CA,Mountain View,94043-1417,,,0,,10,true,37.4173912,-122.0732556
1099 E St Rear,1099-e-st-rear,,,,0,20,,,HAYWARD AREA RECREATION & PK.DIST,1-510-881-6750,,1099 E St Rear,CA,Hayward,94541-5210,,,0,,10,true,37.6710845,-122.0765984
110 L St Ste E,110-l-st-ste-e,,,,0,20,,,Pac Pride Distribution Inc,1-925-779-4486,,110 L St Ste E,CA,Antioch,94509-1168,,,0,,10,true,38.0175113,-121.8202294
1100 Davis St,1100-davis-st,,,,0,20,,,Storquest Self Storage,1-510-562-5080,,1100 Davis St,CA,San Leandro,94577-2500,,,0,,10,true,37.723065,-122.168323
1102 S 3rd St,1102-s-3rd-st,,,,0,20,,,"J. T. R. Company, Inc.",1-408-293-3272,,1102 S 3rd St,CA,San Jose,95112-5918,,,0,,10,true,37.3206335,-121.8752953
1106 San Mateo Ave,1106-san-mateo-ave,,,,0,20,,,Corporate Fulfillment Systems,1-415-552-6697,,1106 San Mateo Ave,CA,South San Francisco,94080-6602,,,0,,10,true,37.6373668,-122.4104571
1107 2nd Ave Apt 406,1107-2nd-ave-apt-406,,,,0,20,,,"Stash It Storage, LLC",1-310-941-1573,,1107 2nd Ave Apt 406,CA,Redwood City,94063-4036,,,0,,10,true,37.4854338,-122.2002787
111 Uranium Dr Ste E,111-uranium-dr-ste-e,,,,0,20,,,Iron Mountain Incorporated,1-408-591-4299,,111 Uranium Dr Ste E,CA,Sunnyvale,94086-5336,,,0,,10,true,37.3709386,-121.9841897
1111 Lockheed Martin Way,1111-lockheed-martin-way,,,,0,20,,,Lockheed Martin Corporation,1-408-742-4321,,1111 Lockheed Martin Way,CA,Sunnyvale,94089-1212,,,0,,10,true,37.416095,-122.0355326
1130 Burnett Ave Ste E,1130-burnett-ave-ste-e,,,,0,20,,,Concord Cold Storage LLC,1-415-713-2573,,1130 Burnett Ave Ste E,CA,Concord,94520-5637,,,0,,10,true,37.9776713,-122.0560009
1132 Kilarney Ln,1132-kilarney-ln,,,,0,20,,,"Petabyte Storage, LLC",1-510-735-6504,,1132 Kilarney Ln,CA,Walnut Creek,94598-1517,,,0,,10,true,37.9317308,-122.0338675
1140 Canal Blvd,1140-canal-blvd,,,,0,20,,,Kinder Morgan Liquids Terminals LLC,1-510-412-8810,,1140 Canal Blvd,CA,Richmind,94804- 3552,,,0,,10,true,37.9172723,-122.3690711
1140 Hamilton Court,1140-hamilton-court,,,,0,20,,,"Extra Space Management, Inc.",1-925-828-5400,,1140 Hamilton Court,CA,Menlo Park,94025-1425,,,0,,10,true,37.4781379,-122.1475027
1140 Hamilton Court,1140-hamilton-court-2,,,,0,20,,,"Space Systems/Loral, LLC",1-650-852-4000,,1140 Hamilton Court,CA,Menlo Park,94025-1425,,,0,,10,true,37.4781379,-122.1475027
1160 Industrial Rd Ste 15,1160-industrial-rd-ste-15,,,,0,20,,,Tea San Carlos LLC,1-650-802-7007,,1160 Industrial Rd Ste 15,CA,San Carlos,94070-4128,,,0,,10,true,37.5018941,-122.2483288
11713 Dorothy Anne Way,11713-dorothy-anne-way,,,,0,20,,,Brommer Street Storage,1-408-446-1773,,11713 Dorothy Anne Way,CA,Cupertino,95014-5137,,,0,,10,true,37.297872,-122.0497853
1190 Zephyr Ave,1190-zephyr-ave,,,,0,20,,,Ate Logistics Inc,1-510-475-9163,,1190 Zephyr Ave,CA,Hayward,94544-7922,,,0,,10,true,37.6108569,-122.0501849
1199 Howard Ave Ste 350,1199-howard-ave-ste-350,,,,0,20,,,"Allied Lomar, Inc",1-650-696-1700,,1199 Howard Ave Ste 350,CA,Burlingame,94010-4274,,,0,,10,true,37.5778259,-122.3444291
120 Silver Cloud Pl,120-silver-cloud-pl,,,,0,20,,,"Prism Team Services, Inc.",1-925-838-1691,,120 Silver Cloud Pl,CA,Danville,94526-4935,,,0,,10,true,37.8009099,-121.9862777
1236 Fairway Drive,1236-fairway-drive,,,,0,20,,,Worldwide Design Concepts Inc,1-510-618-1670,,1236 Fairway Drive,CA,San Leandro,94577,,,0,,10,true,37.7075082,-122.1585036
1241a Main St,1241a-main-st,,,,0,20,,,Delta Storage,1-925-754-7011,,1241a Main St,CA,Oakley,94561-2922,,,0,,10,true,38.0046819,-121.7463227
1246 Hearst Dr,1246-hearst-dr,,,,0,20,,,Select Foods Inc,1-510-785-1000,,1246 Hearst Dr,CA,Pleasanton,94566-7558,,,0,,10,true,37.6528147,-121.8521247
1287 Colleen Way,1287-colleen-way,,,,0,20,,,"Appaloosa Data Storage, Inc.",1-408-378-6875,,1287 Colleen Way,CA,Campbell,95008-1711,,,0,,10,true,37.2884286,-121.9725721
130 Parr Blvd,130-parr-blvd,,,,0,20,,,Secured Rv Storage,1-510-235-7258,,130 Parr Blvd,CA,Richmind,94801-1118,,,0,,10,true,37.9671972,-122.3730276
1309 66th St,1309-66th-st,,,,0,20,,,"Crossroads Trading Co., Inc.",1-510-735-9932,,1309 66th St,CA,Emeryville,94608-1116,,,0,,10,true,37.8475814,-122.2912178
1333 Lowrie Ave,1333-lowrie-ave,,,,0,20,,,"Ship Art International, Inc.",1-650-952-0100,,1333 Lowrie Ave,CA,San Francisco,94080-6403,,,0,,10,true,37.6450515,-122.4121278
134 Montanya Ct,134-montanya-ct,,,,0,20,,,"Research America, Inc.",1-925-603-2904,,134 Montanya Ct,CA,Walnut Creek,94597-3007,,,0,,10,true,37.9116786,-122.0754443
1345 Doolittle Dr Ste A,1345-doolittle-dr-ste-a,,,,0,20,,,"Sloat Brothers, Ltd.",1-510-746-1100,,1345 Doolittle Dr Ste A,CA,San Leandro,94577-2268,,,0,,10,true,37.713901,-122.1877308
1350 W Grand Ave,1350-w-grand-ave,,,,0,20,,,"Iron Mountain Information Management, LLC",1-510-287-5475,,1350 W Grand Ave,CA,Oakland,94607-2333,,,0,,10,true,37.8173501,-122.288427
1357 San Mateo Ave,1357-san-mateo-ave,,,,0,20,,,Arco's Self Storage,1-650-873-2726,,1357 San Mateo Ave,CA,South San Francisco,94080-6511,,,0,,10,true,37.6442385,-122.4108888
13585 Sycamore Ave,13585-sycamore-ave,,,,0,20,,,WINDMILL MINI STORAGE,1-408-683-2300,,13585 Sycamore Ave,CA,San Martin,95046-9796,,,0,,10,true,37.091054,-121.599071
136 Willow St,136-willow-st,,,,0,20,,,STOR ALL STORAGE,1-650-365-0900,,136 Willow St,CA,Redwood City,94063-2822,,,0,,10,true,37.4772113,-122.2183885
1364 San Mateo Ave,1364-san-mateo-ave,,,,0,20,,,Robert Andrighetto,1-650-802-0319,,1364 San Mateo Ave,CA,South San Francisco,94080-6501,,,0,,10,true,37.644545,-122.410082
13760 E 14th St,13760-e-14th-st,,,,0,20,,,FIRST RATE STORAGE,1-510-357-6353,,13760 E 14th St,CA,San Leandro,94578-2540,,,0,,10,true,37.7154997,-122.1425385
14 Woodland Ave,14-woodland-ave,,,,0,20,,,Woodland Avenue Security Storage,1-415-457-2327,,14 Woodland Ave,CA,San Rafael,94901-5302,,,0,,10,true,37.9613441,-122.5137377
140 Town And Country Dr E,140-town-and-country-dr-e,,,,0,20,,,"San Francisco Self Storage II, LLC",1-800-866-0026,,140 Town And Country Dr E,CA,Danville,94526-3965,,,0,,10,true,37.8138473,-121.9995152
1400 Oakland Rd,1400-oakland-rd,,,,0,20,,,MCMOOR'S COMPANY,1-408-453-8177,,1400 Oakland Rd,CA,San Jose,95112-1202,,,0,,10,true,37.3730814,-121.8935384
1420 Royal Industrial Way,1420-royal-industrial-way,,,,0,20,,,Commerce Rv Storage,1-925-689-6441,,1420 Royal Industrial Way,CA,Concord,94520-4914,,,0,,10,true,37.9748073,-122.0477942
14205 Sycamore Ave,14205-sycamore-ave,,,,0,20,,,AC Rv Boat Storage,1-408-683-2886,,14205 Sycamore Ave,CA,San Martin,95046-9300,,,0,,10,true,37.1005309,-121.604422
1445 Lakeside Dr Apt 205,1445-lakeside-dr-apt-205,,,,0,20,,,Formrapid LLC,1-650-391-7619,,1445 Lakeside Dr Apt 205,CA,Oakland,94612-4355,,,0,,10,true,37.8018926,-122.2628631
1465 Custer Ave,1465-custer-ave,,,,0,20,,,Richard Gervais Collection War,1-415-642-1056,,1465 Custer Ave,CA,San Francisco,94124-1437,,,0,,10,true,37.7448779,-122.388813
1475 Fairfax Ave,1475-fairfax-ave,,,,0,20,,,Pakall Inc,1-415-648-8570,,1475 Fairfax Ave,CA,San Francisco,94124-1729,,,0,,10,true,37.7408559,-122.3869478
1480 Barlow Ct,1480-barlow-ct,,,,0,20,,,Beyond Warehousing,1-510-378-8311,,1480 Barlow Ct,CA,Fremont,94536-4029,,,0,,10,true,37.5619387,-121.9818352
1490 Sacramento St Apt 2f,1490-sacramento-st-apt-2f,,,,0,20,,,"Sutter Space, LLC",1-415-732-9607,,1490 Sacramento St Apt 2f,CA,San Francisco,94109-4037,,,0,,10,true,37.7920887,-122.4174816
1491 Rutan Dr,1491-rutan-dr,,,,0,20,,,Airport Mini Storage,1-925-606-1024,,1491 Rutan Dr,CA,Livermore,94551-7319,,,0,,10,true,37.6925894,-121.8002283
15 Middlefield Dr,15-middlefield-dr,,,,0,20,,,"Exotic Glass, LLC",1-415-706-7588,,15 Middlefield Dr,CA,San Francisco,94132-1413,,,0,,10,true,37.7337758,-122.4866256
1520 Willow Rd,1520-willow-rd,,,,0,20,,,Extra Space Mgmt Inc,1-650-327-6006,,1520 Willow Rd,CA,Menlo Park,94025-1416,,,0,,10,true,37.4808333,-122.1488142
15311 Hesperian Blvd,15311-hesperian-blvd,,,,0,20,,,"Mini Safe Storage, LLC",1-510-276-2000,,15311 Hesperian Blvd,CA,San Leandro,94578-3909,,,0,,10,true,37.6949488,-122.1321264
1534 15th St,1534-15th-st,,,,0,20,,,Lucas Lamont LLC,1-415-861-3101,,1534 15th St,CA,San Francisco,94103-3638,,,0,,10,true,37.7669231,-122.4185214
15516 Alum Rock Avenue,15516-alum-rock-avenue,,,,0,20,,,Hometown Self Storage Inc,1-408-205-0070,,15516 Alum Rock Avenue,CA,San Jose,95127-2710,,,0,,10,true,37.3841241,-121.8155578
1555 Pacific Ave,1555-pacific-ave,,,,0,20,,,PEARL GROUP,1-415-400-4212,,1555 Pacific Ave,CA,San Francisco,94109-2626,,,0,,10,true,37.7948921,-122.4207567
1555 Zephyr Ave,1555-zephyr-ave,,,,0,20,,,Chipman Corporation,1-510-474-3600,,1555 Zephyr Ave,CA,Hayward,94544-7835,,,0,,10,true,37.6123345,-122.0601296
158 California Ave,158-california-ave,,,,0,20,,,Foti Mini Self Storage,1-650-728-5225,,158 California Ave,CA,El Granada,94018,,,0,,10,true,37.5057644,-122.4890464
1597 Market Street,1597-market-street,,,,0,20,,,8671 Extra Space Storage,1-925-250-5281,,1597 Market Street,CA,Concord,94520-3900,,,0,,10,true,37.96705,-122.047981
1597 Market Street,1597-market-street-2,,,,0,20,,,Smart Stop Self Storage,1-925-357-7642,,1597 Market Street,CA,Concord,94520-3900,,,0,,10,true,37.96705,-122.047981
1600 Donner Ave,1600-donner-ave,,,,0,20,,,"Morgan-Todt, Inc.",1-415-822-8445,,1600 Donner Ave,CA,San Francisco,94124-3220,,,0,,10,true,37.7241366,-122.3927455
16025 Ashland Avenue,16025-ashland-avenue,,,,0,20,,,Public Storage,1-510-470-4585,,16025 Ashland Avenue,CA,San Lorenzo,94580-1113,,,0,,10,true,37.6982839,-122.1198646
1610 Whipple Rd,1610-whipple-rd,,,,0,20,,,"Total Sweeteners, Inc.",1-510-471-3832,,1610 Whipple Rd,CA,Union City,94587-1926,,,0,,10,true,37.6057988,-122.0481649
16250 Greenwood Ln,16250-greenwood-ln,,,,0,20,,,Storage City LLC,1-408-813-6416,,16250 Greenwood Ln,CA,Los Gatos,95030-3053,,,0,,10,true,37.23204,-122.0020248
1639 18th St,1639-18th-st,,,,0,20,,,Issa Transport Service,1-510-893-8020,,1639 18th St,CA,Oakland,94607-1632,,,0,,10,true,37.8143592,-122.292724
1650 S Amphlett Blvd Ste 110,1650-s-amphlett-blvd-ste-110,,,,0,20,,,"Loudmouth Golf, Inc.",1-800-390-5116,,1650 S Amphlett Blvd Ste 110,CA,San Mateo,94402-2514,,,0,,10,true,37.5595553,-122.3032419
1650 W Winton Ave,1650-w-winton-ave,,,,0,20,,,Parrish Estate Company,1-510-293-8870,,1650 W Winton Ave,CA,Hayward,94545-1313,,,0,,10,true,37.6508125,-122.123461
16520 Worthley Dr,16520-worthley-dr,,,,0,20,,,All American Storage,1-510-276-4600,,16520 Worthley Dr,CA,San Lorenzo,94580-1812,,,0,,10,true,37.6672387,-122.1487033
1664 Hillcrest Rd,1664-hillcrest-rd,,,,0,20,,,"Re-Tasks, LLC",1-510-517-7238,,1664 Hillcrest Rd,CA,San Pablo,94806-4131,,,0,,10,true,37.9571953,-122.3261414
1670 Alvarado St,1670-alvarado-st,,,,0,20,,,"Brava Shipping & Receiving, LLC",1-510-459-7926,,1670 Alvarado St,CA,San Leandro,94577-2637,,,0,,10,true,37.7190734,-122.1608123
1683 Galvez Ave,1683-galvez-ave,,,,0,20,,,Pine Garment USA Inc,1-415-285-9888,,1683 Galvez Ave,CA,San Francisco,94124-1431,,,0,,10,true,37.7412475,-122.3895014
170 State St Ste B,170-state-st-ste-b,,,,0,20,,,The Makery LLC,1-650-397-5613,,170 State St Ste B,CA,Los Altos,94022-2837,,,0,,10,true,37.3799748,-122.1163267
1700 Egbert Ave,1700-egbert-ave,,,,0,20,,,EXTRA SPACE MGMT INC,1-415-467-4600,,1700 Egbert Ave,CA,San Francisco,94124-2565,,,0,,10,true,37.7277037,-122.3965587
1701 Senter Rd,1701-senter-rd,,,,0,20,,,A-1 Self Storage,1-408-649-7314,,1701 Senter Rd,CA,San Jose,95112-2515,,,0,,10,true,37.3177128,-121.8584777
1702-L Meridian Ave Ste 149,1702-l-meridian-ave-ste-149,,,,0,20,,,Access Ergonomics,1-408-355-5959,,1702-L Meridian Ave Ste 149,CA,San Jose,95125-5586,,,0,,10,true,37.292839,-121.912497
1703 E Bayshore Rd,1703-e-bayshore-rd,,,,0,20,,,Seaport Storage Center,1-650-364-3866,,1703 E Bayshore Rd,CA,Redwood City,94063-4123,,,0,,10,true,37.4912006,-122.2110962
17147 Heatherwood Way,17147-heatherwood-way,,,,0,20,,,"Premier Power Storage, Incorporated",1-408-779-6551,,17147 Heatherwood Way,CA,Morgan Hill,95037-7204,,,0,,10,true,37.1396131,-121.6180813
17443 Farley Rd W,17443-farley-rd-w,,,,0,20,,,Storit of Los Gatos,1-408-399-3333,,17443 Farley Rd W,CA,Los Gatos,95030-3308,,,0,,10,true,37.2396924,-121.9755932
1745 Dobbin Dr,1745-dobbin-dr,,,,0,20,,,"Eastern Wholesale Furniture Co. of California, Inc.",1-408-926-7000,,1745 Dobbin Dr,CA,San Jose,95133,,,0,,10,true,37.3663531,-121.865074
1760 Junction Ave,1760-junction-ave,,,,0,20,,,Maclaughlin and Company Incorporated,1-408-436-8828,,1760 Junction Ave,CA,San Jose,95112-1021,,,0,,10,true,37.3773575,-121.9061396
1765 Scott Blvd Ste 109,1765-scott-blvd-ste-109,,,,0,20,,,Associated Technologies Inc,1-408-727-3904,,1765 Scott Blvd Ste 109,CA,Santa Clara,95050-4138,,,0,,10,true,37.355044,-121.9588425
178 Barnard Ave,178-barnard-ave,,,,0,20,,,"Alpacka Group, LLC",1-312-550-8501,,178 Barnard Ave,CA,San Jose,95125-1040,,,0,,10,true,37.308405,-121.8707763
180 Golf Club Rd,180-golf-club-rd,,,,0,20,,,Cs Lemoore Storage LLC,1-877-973-3331,,180 Golf Club Rd,CA,Pleasant Hill,94523-1526,,,0,,10,true,37.9720164,-122.0666189
18025 Monterey St,18025-monterey-st,,,,0,20,,,Storagemart,1-408-782-2535,,18025 Monterey St,CA,Morgan Hill,95037-3649,,,0,,10,true,37.1370541,-121.6610172
1840 National Ave,1840-national-ave,,,,0,20,,,"Sp Freight Services, Inc.",1-510-782-0188,,1840 National Ave,CA,Hayward,94545-1708,,,0,,10,true,37.6491272,-122.1219969
1845 Rollins Rd,1845-rollins-rd,,,,0,20,,,"Sky Chefs, Inc.",1-650-652-7886,,1845 Rollins Rd,CA,Burlingame,94010-2209,,,0,,10,true,37.5982069,-122.3813796
1850 Solano Way,1850-solano-way,,,,0,20,,,Abba Self & Rv Storage,1-925-969-9222,,1850 Solano Way,CA,Concord,94520-5429,,,0,,10,true,37.991065,-122.049694
1855 Las Plumas Avenue,1855-las-plumas-avenue,,,,0,20,,,Life Storage,1-408-708-2767,,1855 Las Plumas Avenue,CA,San Jose,95133-1706,,,0,,10,true,37.364675,-121.863792
187 Arthur Rd Ste C,187-arthur-rd-ste-c,,,,0,20,,,Tri-Valley Transfer & Storage,1-925-634-7277,,187 Arthur Rd Ste C,CA,Martinez,94553-2255,,,0,,10,true,38.0090014,-122.0882365
1875 Loveridge Rd,1875-loveridge-rd,,,,0,20,,,"Arb, Inc.",1-925-432-3649,,1875 Loveridge Rd,CA,Pittsburg,94565-4110,,,0,,10,true,38.0134403,-121.8615536
1916-A Stone Ave,1916-a-stone-ave,,,,0,20,,,Barb's Parking & Storage,1-408-295-8644,,1916-A Stone Ave,CA,San Jose,95125-1312,,,0,,10,true,37.3025279,-121.8728495
1935 S 10th St,1935-s-10th-st,,,,0,20,,,J. Lohr Winery Corporation,1-408-293-1345,,1935 S 10th St,CA,San Jose,95112-4111,,,0,,10,true,37.311679,-121.859407
1939 Harrison St,1939-harrison-st,,,,0,20,,,Saf Keep Limited,1-650-322-2222,,1939 Harrison St,CA,Oakland,94612-3529,,,0,,10,true,37.8072191,-122.2653001
1939 Harrison St,1939-harrison-st-2,,,,0,20,,,Peninsula Storage Center,1-650-968-7700,,1939 Harrison St,CA,Oakland,94612-3529,,,0,,10,true,37.8072191,-122.2653001
1941 Stone Ave,1941-stone-ave,,,,0,20,,,B&E Storage,1-408-297-0375,,1941 Stone Ave,CA,San Jose,95125-1313,,,0,,10,true,37.3020719,-121.8731163
195 Leavesley Rd,195-leavesley-rd,,,,0,20,,,Leavesley Mini Storage,1-408-842-7312,,195 Leavesley Rd,CA,Gilroy,95020-3604,,,0,,10,true,37.0207247,-121.5726099
1951 Fairway Dr Ste B,1951-fairway-dr-ste-b,,,,0,20,,,"Sloat Brothers, Ltd.",1-510-352-8244,,1951 Fairway Dr Ste B,CA,San Leandro,94577-5643,,,0,,10,true,37.703033,-122.1719441
1991 Fairway Drive,1991-fairway-drive,,,,0,20,,,Closet Box,1-415-582-4448,,1991 Fairway Drive,CA,San Leandro,94577-5634,,,0,,10,true,37.7020928,-122.1738067
200 Perdue St,200-perdue-st,,,,0,20,,,Ed Roach,1-925-552-6000,,200 Perdue St,CA,San Ramon,94583-1590,,,0,,10,true,37.7825707,-121.9817464
200 Toland St,200-toland-st,,,,0,20,,,Consolidated De Pue Corp,1-415-285-6727,,200 Toland St,CA,San Francisco,94124-1120,,,0,,10,true,37.7462044,-122.3977905
2000 Doolittle Dr,2000-doolittle-dr,,,,0,20,,,"Extra Space Management, Inc.",1-510-483-6545,,2000 Doolittle Dr,CA,San Leandro,94577-3237,,,0,,10,true,37.7061586,-122.1806803
201 Discovery Drive,201-discovery-drive,,,,0,20,,,"Thyssenkrupp Industrial Services Na, Inc.",1-209-395-9111,,201 Discovery Drive,CA,Livermore,94551-9532,,,0,,10,true,37.6830442,-121.8078852
20250 Mckean Rd,20250-mckean-rd,,,,0,20,,,Doug Hamilton,1-408-268-6800,,20250 Mckean Rd,CA,San Jose,95120-2311,,,0,,10,true,37.1998392,-121.8215165
2041 Mission College Blvd Ste 145,2041-mission-college-blvd-ste-145,,,,0,20,,,Omnitier Storage Inc,1-408-892-7073,,2041 Mission College Blvd Ste 145,CA,Santa Clara,95054-1588,,,0,,10,true,37.3875893,-121.9606866
2042 N Main St,2042-n-main-st,,,,0,20,,,My Toys For Rent,1-925-933-3500,,2042 N Main St,CA,Walnut Creek,94596-3706,,,0,,10,true,37.9081946,-122.0644135
2047 Old Middlefield Way,2047-old-middlefield-way,,,,0,20,,,Acesis Inc.,1-650-396-7540,,2047 Old Middlefield Way,CA,Mountain View,94043-2401,,,0,,10,true,37.4140442,-122.0917587
205 E Alma Avenue,205-e-alma-avenue,,,,0,20,,,Valley Relocation & Storage Inc. San Jose,1-408-763-4788,,205 E Alma Avenue,CA,San Jose,95112-5902,,,0,,10,true,37.3183038,-121.8710262
205 Main St Ste E,205-main-st-ste-e,,,,0,20,,,"Access Cig, LLC",1-925-461-5352,,205 Main St Ste E,CA,Pleasanton,94566-7360,,,0,,10,true,37.6578487,-121.8785192
2050 Galvez Ave,2050-galvez-ave,,,,0,20,,,Growers' Refrigeration Company,1-415-647-8383,,2050 Galvez Ave,CA,San Francisco,94124-1109,,,0,,10,true,37.7459086,-122.3958433
2050 Williams St,2050-williams-st,,,,0,20,,,"Anchor Distribution Services, Inc.",1-510-483-9120,,2050 Williams St,CA,San Leandro,94577-2306,,,0,,10,true,37.711314,-122.180016
2066 Broadway St,2066-broadway-st,,,,0,20,,,Captain's,1-650-568-1931,,2066 Broadway St,CA,Redwood City,94063-1802,,,0,,10,true,37.486807,-122.227537
2070 S 7th St Ste A,2070-s-7th-st-ste-a,,,,0,20,,,Leales Rv Storage Service Center,1-408-286-5515,,2070 S 7th St Ste A,CA,San Jose,95112-6032,,,0,,10,true,37.3073653,-121.8575042
21 Commercial Blvd Ste 2,21-commercial-blvd-ste-2,,,,0,20,,,Sacramento Storage Associates II,1-415-883-7846,,21 Commercial Blvd Ste 2,CA,Novato,94949-6109,,,0,,10,true,38.0691821,-122.5311143
21 Commercial Boulevard,21-commercial-boulevard,,,,0,20,,,College Avenue Storage Corporation,1-415-883-7846,,21 Commercial Boulevard,CA,Novato,94949-6146,,,0,,10,true,38.0691821,-122.5311143
21054 Alexander Ct,21054-alexander-ct,,,,0,20,,,Midwest Sign & Screen Printing Supply Company,1-510-732-5800,,21054 Alexander Ct,CA,Hayward,94545-1234,,,0,,10,true,37.6513546,-122.1302749
21063 Forbes St,21063-forbes-st,,,,0,20,,,"Iron Mountain Information Management, LLC",1-510-785-8742,,21063 Forbes St,CA,Hayward,94545-1115,,,0,,10,true,37.648049,-122.134523
212 Shaw Ave Unit 3,212-shaw-ave-unit-3,,,,0,20,,,Cargo Hs LLC,1-415-656-7402,,212 Shaw Ave Unit 3,CA,South San Francisco,94080-6613,,,0,,10,true,37.6407097,-122.4104346
2125 150th Ave,2125-150th-ave,,,,0,20,,,Morgan & Sons,1-510-483-5935,,2125 150th Ave,CA,San Leandro,94578-1371,,,0,,10,true,37.7116947,-122.1222852
213 West Cutting Blvd,213-west-cutting-blvd,,,,0,20,,,"Impact Transload & Rail, LLC",1-510-763-8911,,213 West Cutting Blvd,CA,Richmind,94804-2015,,,0,,10,true,37.9261553,-122.3741563
2150 Kruse Dr,2150-kruse-dr,,,,0,20,,,Kinder Morgan Liquids Terminals LLC,1-408-435-7399,,2150 Kruse Dr,CA,San Jose,95131-1213,,,0,,10,true,37.390256,-121.911428
2167 Francisco Blvd E,2167-francisco-blvd-e,,,,0,20,,,H & H Storage,1-415-453-1144,,2167 Francisco Blvd E,CA,San Rafael,94901-5533,,,0,,10,true,37.9457546,-122.4858292
2170 Cesar Chavez,2170-cesar-chavez,,,,0,20,,,"Ron Blake, Inc.",1-415-495-4201,,2170 Cesar Chavez,CA,San Francisco,94124-1020,,,0,,10,true,37.7497485,-122.3987952
2183 Feliz Dr,2183-feliz-dr,,,,0,20,,,"Pallet Storage, LLC",1-415-898-7363,,2183 Feliz Dr,CA,Novato,94945-1707,,,0,,10,true,38.1174551,-122.5968095
220 Gellert Dr,220-gellert-dr,,,,0,20,,,"South Beach Storage I, LLC",1-415-682-9992,,220 Gellert Dr,CA,San Francisco,94132-1234,,,0,,10,true,37.7300043,-122.492672
